FLUX_U,FLUX_G,FLUX_R,FLUX_I,FLUX_Z,R-Z,U-R,G-Z,I-Z,U-G,(G-Z)/(R-Z),R/U,G/Z,R/Z,I/Z,U/G,U/Z,CURV,MAD,F0,F1,F2,F3,F0/Z,F0/G,F0/R,F0/I,F0/F1,F0/F2,F0/F3,F1/U,F1/Z,F1/R,F1/I,F1/F2,F2/Z,F2/R,F2/I,F2/F3,F3/U,F3/Z,F3/R,F3/I,-2.5LOG(U/R),-2.5LOG(U/G),-2.5LOG(G/Z),-2.5LOG(R/Z),-2.5LOG(I/Z),CHI^2_GALAXY,CHI^2_STAR,CHI^2_QSO,CHI^2_GALAXY/CHI^2_QSO,CHI^2_GALAXY/CHI^2_STAR,CHI^2_QSO/CHI^2_STAR,ABBE,RANDOM
0.000,0.001,0.004,0.005,0.004,0.001,-0.005,-0.002,0.005,-0.002,0.000,1.000,0.000,0.000,0.000,0.000,0.000,-0.013,0.007,0.000,0.003,0.002,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.693,0.000,0.000,0.000,-0.005,-0.003,-0.003,-0.002,0.000,0.000,0.000,0.000,0.000,-0.002,-0.002,-0.002,0.000
0.002,0.002,0.001,0.000,-0.001,0.004,-0.001,0.004,0.003,-0.002,0.000,0.000,1.000,0.981,0.970,0.000,0.988,0.000,-0.001,0.002,0.001,0.000,-0.001,0.973,0.000,0.000,0.002,0.002,0.000,-0.006,0.000,0.968,0.000,0.002,0.000,0.263,0.000,0.000,0.002,0.000,-0.736,0.000,0.000,-0.004,0.000,-0.034,-0.047,-0.071,0.000,0.000,0.000,0.000,0.000,0.002,0.002,-0.002
0.002,0.002,0.001,0.000,-0.001,0.004,-0.001,0.004,0.003,-0.002,0.000,0.000,0.981,1.000,0.996,0.000,0.948,-0.001,-0.001,0.002,0.002,0.000,-0.001,0.927,0.000,0.000,0.001,0.002,0.000,-0.004,0.000,0.969,0.000,0.001,0.000,0.287,0.000,0.001,0.000,0.000,-0.704,0.000,0.000,-0.003,0.000,-0.034,-0.047,-0.070,0.000,0.000,0.000,0.000,-0.001,0.001,0.001,-0.002
0.002,0.002,0.001,0.000,-0.001,0.004,-0.001,0.003,0.003,-0.002,0.000,0.000,0.970,0.996,1.000,0.000,0.932,-0.001,-0.001,0.002,0.002,0.000,-0.001,0.915,0.000,0.000,0.000,0.001,0.000,-0.003,0.000,0.959,0.000,0.000,0.000,0.291,0.000,0.000,-0.001,0.000,-0.703,0.000,0.000,-0.002,0.000,-0.033,-0.047,-0.071,0.000,0.000,0.000,0.000,-0.001,0.001,0.001,-0.002
0.001,0.000,-0.002,-0.003,-0.004,0.002,0.003,0.003,0.000,0.001,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.006,-0.002,0.001,-0.002,-0.002,-0.004,0.000,0.991,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,-0.016,-0.016,0.000,0.004,0.005,0.000,0.000,0.000,-0.001,0.004,0.005,0.002,0.001
0.002,0.002,0.001,0.000,-0.001,0.003,0.000,0.004,0.002,-0.002,0.000,0.000,0.988,0.948,0.932,0.000,1.000,0.001,0.000,0.002,0.001,0.000,-0.001,0.990,0.000,0.000,0.002,0.003,0.000,-0.008,0.000,0.940,0.000,0.002,0.000,0.250,-0.001,-0.001,0.002,0.000,-0.727,0.000,0.000,-0.004,-0.001,-0.034,-0.047,-0.072,0.000,0.000,0.000,0.000,0.000,0.003,0.002,-0.002
-0.110,-0.257,-0.424,-0.425,-0.348,-0.308,0.534,-0.056,-0.473,0.303,-0.002,-0.013,0.000,-0.001,-0.001,0.006,0.001,1.000,-0.116,-0.116,-0.380,-0.219,-0.328,0.001,0.005,0.002,0.003,0.004,0.003,0.000,-0.010,-0.001,0.002,0.000,0.000,0.000,0.005,0.000,-0.001,-0.026,0.004,0.007,0.002,-0.263,-0.233,0.002,0.111,0.082,0.072,-0.068,-0.040,0.000,0.339,0.370,0.232,-0.001
0.752,0.785,0.828,0.897,0.915,0.230,-0.819,0.315,0.552,-0.789,0.002,0.007,-0.001,-0.001,-0.001,-0.002,0.000,-0.116,1.000,0.751,0.814,0.540,0.908,0.000,-0.002,-0.001,0.000,-0.002,0.000,0.000,0.007,-0.001,-0.002,-0.001,-0.001,0.000,0.004,0.001,0.000,-0.002,0.001,0.008,0.002,0.219,0.135,0.197,0.143,0.058,-0.654,0.649,0.633,0.000,-0.159,-0.107,-0.327,-0.004
0.998,0.982,0.915,0.821,0.680,0.774,-0.835,0.844,0.896,-0.970,0.001,0.000,0.002,0.002,0.002,0.001,0.002,-0.116,0.751,1.000,0.941,0.485,0.644,0.002,0.001,0.001,0.003,0.002,0.002,0.002,0.000,0.002,0.001,0.003,0.002,0.001,0.000,0.000,0.001,0.000,-0.003,-0.003,-0.002,-0.052,-0.011,-0.110,-0.108,-0.079,-0.835,0.832,0.827,-0.001,-0.122,-0.012,-0.177,-0.003
0.941,0.985,0.996,0.950,0.841,0.685,-0.969,0.694,0.903,-0.992,0.002,0.003,0.001,0.002,0.002,-0.002,0.001,-0.380,0.814,0.941,1.000,0.557,0.810,0.001,-0.001,0.000,0.001,0.000,0.001,0.002,0.003,0.002,0.000,0.001,0.001,0.001,0.000,0.000,0.001,0.001,-0.003,-0.001,-0.001,0.090,0.092,-0.031,-0.071,-0.066,-0.768,0.764,0.749,0.000,-0.243,-0.155,-0.291,-0.003
0.486,0.528,0.569,0.593,0.580,0.235,-0.575,0.247,0.428,-0.538,0.002,0.002,0.000,0.000,0.000,-0.002,0.000,-0.219,0.540,0.485,0.557,1.000,0.571,0.000,-0.002,0.000,0.000,-0.001,0.000,0.000,0.003,0.001,-0.001,0.000,0.000,-0.024,0.021,-0.166,-0.024,-0.003,-0.001,0.003,0.000,0.143,0.106,0.075,0.031,0.004,-0.382,0.378,0.366,0.000,-0.174,-0.137,-0.227,-0.004
0.648,0.736,0.845,0.947,0.998,0.133,-0.885,0.160,0.504,-0.759,0.003,0.004,-0.001,-0.001,-0.001,-0.004,-0.001,-0.328,0.908,0.644,0.810,0.571,1.000,-0.001,-0.004,-0.001,-0.001,-0.004,0.000,-0.001,0.005,-0.001,-0.002,-0.002,-0.001,0.000,0.004,0.000,0.000,-0.012,0.002,0.009,0.002,0.305,0.205,0.227,0.147,0.053,-0.507,0.502,0.480,0.000,-0.301,-0.258,-0.430,-0.003
0.002,0.002,0.001,0.000,-0.001,0.003,-0.001,0.004,0.002,-0.002,0.000,0.000,0.973,0.927,0.915,0.000,0.990,0.001,0.000,0.002,0.001,0.000,-0.001,1.000,0.000,0.000,0.002,0.003,0.000,-0.008,0.000,0.904,0.000,0.002,0.000,0.254,-0.001,-0.001,0.001,0.000,-0.712,0.000,0.000,-0.005,-0.001,-0.037,-0.051,-0.078,0.000,0.000,0.000,0.000,0.000,0.003,0.003,-0.002
0.001,0.000,-0.002,-0.003,-0.004,0.002,0.003,0.003,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.991,0.000,0.005,-0.002,0.001,-0.001,-0.002,-0.004,0.000,1.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,-0.017,-0.022,0.004,0.005,0.006,0.000,0.000,0.000,0.000,0.004,0.005,0.001,0.001
0.001,0.000,0.000,-0.001,-0.001,0.001,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.001,0.001,0.000,0.000,-0.001,0.000,0.000,1.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.976,0.000,0.000,0.000,0.735,0.000,0.000,0.000,0.000,-0.731,0.000,-0.034,-0.003,-0.007,0.034,0.003,0.000,0.000,0.000,0.000,0.001,0.002,-0.002,0.005
0.003,0.002,0.001,0.000,-0.001,0.004,0.000,0.005,0.002,-0.002,0.000,0.000,0.002,0.001,0.000,0.000,0.002,0.003,0.000,0.003,0.001,0.000,-0.001,0.002,0.000,-0.001,1.000,-0.001,0.000,-0.001,0.000,0.001,-0.001,0.795,-0.001,0.000,-0.001,0.030,-0.001,0.000,0.000,0.000,-0.679,0.004,0.002,-0.009,-0.017,-0.078,0.000,0.000,0.000,0.000,0.000,0.003,0.002,-0.003
0.002,0.001,-0.001,-0.002,-0.004,0.005,0.002,0.005,0.002,-0.001,0.000,0.000,0.002,0.002,0.001,0.000,0.003,0.004,-0.002,0.002,0.000,-0.001,-0.004,0.003,0.000,0.000,-0.001,1.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.003,0.000,0.000,0.002,0.000,0.001,-0.004,0.005,-0.016,-0.012,-0.009,0.000,0.000,0.000,0.000,0.001,0.004,0.006,0.001
0.002,0.002,0.001,0.000,0.000,0.002,0.000,0.003,0.001,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,-0.001,0.721,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.001,-0.002,0.001,-0.003,-0.001,0.005,0.000,0.000,0.000,0.000,-0.001,0.001,-0.001,0.002
0.003,0.002,0.002,0.001,0.000,0.004,-0.001,0.004,0.003,-0.002,0.000,0.000,-0.006,-0.004,-0.003,0.001,-0.008,0.000,0.000,0.002,0.002,0.000,-0.001,-0.008,0.001,0.000,-0.001,0.000,0.000,1.000,0.000,-0.003,0.000,0.000,0.000,0.001,0.000,-0.001,0.352,0.000,0.001,0.000,0.000,0.000,0.002,-0.003,-0.001,0.000,0.000,0.000,0.000,0.000,-0.001,0.002,0.003,-0.001
0.000,0.001,0.004,0.005,0.005,0.000,-0.005,-0.003,0.004,-0.002,0.000,0.983,0.000,0.000,0.000,0.000,0.000,-0.010,0.007,0.000,0.003,0.003,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.603,0.000,0.000,0.000,-0.011,-0.011,-0.003,-0.001,0.000,0.000,0.000,0.000,0.000,-0.002,-0.003,-0.002,0.000
0.002,0.002,0.002,0.001,-0.001,0.004,-0.001,0.004,0.003,-0.002,0.000,0.000,0.968,0.969,0.959,0.000,0.940,-0.001,-0.001,0.002,0.002,0.001,-0.001,0.904,0.000,0.000,0.001,0.000,0.000,-0.003,0.000,1.000,0.000,0.001,0.000,0.226,-0.001,-0.004,0.004,0.000,-0.769,0.000,0.000,-0.002,0.001,-0.025,-0.036,-0.054,0.000,0.000,0.000,0.000,-0.001,0.001,0.001,-0.002
0.001,0.001,0.000,-0.001,-0.002,0.003,0.001,0.003,0.001,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.002,0.001,0.000,-0.001,-0.002,0.000,0.000,0.976,-0.001,0.001,0.000,0.000,0.000,0.000,1.000,0.001,0.000,-0.001,0.729,-0.001,0.000,0.000,0.000,-0.743,0.000,-0.029,-0.002,-0.009,0.026,0.001,0.000,0.000,0.000,0.000,0.001,0.002,-0.001,0.004
0.003,0.002,0.001,0.000,-0.002,0.005,-0.001,0.005,0.003,-0.002,0.000,0.000,0.002,0.001,0.000,0.000,0.002,0.000,-0.001,0.003,0.001,0.000,-0.002,0.002,0.000,0.000,0.795,0.000,-0.001,0.000,0.000,0.001,0.001,1.000,-0.001,-0.003,-0.001,0.020,-0.001,0.000,0.002,0.000,-0.739,0.005,0.004,-0.007,-0.013,-0.041,0.000,0.000,0.000,0.002,-0.001,0.001,0.000,-0.005
0.002,0.001,0.001,0.000,-0.001,0.003,-0.001,0.003,0.002,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.002,0.001,0.000,-0.001,0.000,0.000,0.000,-0.001,0.000,0.721,0.000,0.000,0.000,0.000,-0.001,1.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.002,0.004,0.005,-0.001,-0.002,-0.001,0.000,0.000,0.000,0.000,-0.001,0.000,0.001,0.005
0.001,0.001,0.001,0.000,0.000,0.001,-0.001,0.001,0.001,-0.001,0.000,0.000,0.263,0.287,0.291,0.000,0.250,0.000,0.000,0.001,0.001,-0.024,0.000,0.254,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.226,-0.001,-0.003,0.000,1.000,0.053,0.197,-0.123,0.000,-0.135,0.000,0.000,0.005,0.000,0.005,0.001,-0.009,0.000,0.000,0.000,0.000,-0.001,0.000,-0.003,-0.005
0.000,-0.001,0.000,0.002,0.004,-0.006,0.000,-0.004,-0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.005,0.004,0.000,0.000,0.021,0.004,-0.001,0.000,0.735,-0.001,0.001,0.000,0.000,0.000,-0.001,0.729,-0.001,0.000,0.053,1.000,-0.052,0.052,0.000,0.000,-0.309,0.001,-0.023,-0.006,0.011,0.044,0.009,0.000,0.000,0.000,0.000,0.001,0.000,-0.011,0.005
0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,-0.001,0.000,0.001,0.000,0.000,-0.166,0.000,-0.001,0.000,0.000,0.030,0.003,0.000,-0.001,0.000,-0.004,-0.001,0.020,0.000,0.197,-0.052,1.000,-0.036,0.000,0.006,0.000,0.307,0.002,-0.001,0.013,0.015,-0.016,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.002
0.001,0.001,0.001,0.001,0.000,0.002,-0.001,0.002,0.002,-0.001,0.000,0.000,0.002,0.000,-0.001,0.001,0.002,-0.001,0.000,0.001,0.001,-0.024,0.000,0.001,0.001,0.000,-0.001,0.000,0.000,0.352,0.000,0.004,0.000,-0.001,0.000,-0.123,0.052,-0.036,1.000,0.000,-0.001,0.000,0.000,0.004,0.004,-0.002,-0.004,-0.005,0.000,0.000,0.000,0.000,-0.001,0.000,-0.001,0.002
0.000,0.001,0.001,-0.002,-0.010,0.019,-0.002,0.011,0.018,-0.001,0.000,0.693,0.000,0.000,0.000,0.000,0.000,-0.026,-0.002,0.000,0.001,-0.003,-0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.603,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,-0.012,-0.011,-0.008,-0.008,-0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.001
-0.003,-0.003,-0.003,-0.001,0.001,-0.006,0.002,-0.006,-0.006,0.003,0.000,0.000,-0.736,-0.704,-0.703,0.000,-0.727,0.004,0.001,-0.003,-0.003,-0.001,0.002,-0.712,0.000,0.000,0.000,0.002,-0.001,0.001,0.000,-0.769,0.000,0.002,-0.001,-0.135,0.000,0.006,-0.001,0.000,1.000,0.001,0.001,0.001,-0.002,0.020,0.028,0.043,0.000,0.000,0.000,0.000,0.002,0.000,-0.003,0.002
-0.003,-0.002,0.000,0.004,0.009,-0.014,-0.001,-0.011,-0.009,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.008,-0.003,-0.001,0.003,0.009,0.000,0.000,-0.731,0.000,0.000,0.000,0.000,0.000,0.000,-0.743,0.000,0.000,0.000,-0.309,0.000,0.000,0.000,0.001,1.000,0.001,0.004,-0.004,0.026,0.028,0.012,0.000,0.000,0.000,0.000,0.000,-0.002,-0.010,-0.004
-0.002,-0.002,-0.001,0.000,0.002,-0.005,0.001,-0.004,-0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,-0.002,-0.001,0.000,0.002,0.000,0.000,0.000,-0.679,0.001,0.001,0.000,0.000,0.000,0.000,-0.739,0.002,0.000,0.001,0.307,0.000,0.000,0.001,0.001,1.000,-0.001,-0.002,0.013,0.019,0.003,0.000,0.000,0.000,0.000,0.001,-0.001,0.000,0.002
-0.052,0.016,0.125,0.221,0.293,-0.209,-0.193,-0.261,-0.033,-0.037,-0.002,-0.005,-0.004,-0.003,-0.002,-0.016,-0.004,-0.263,0.219,-0.052,0.090,0.143,0.305,-0.005,-0.017,-0.034,0.004,-0.004,-0.002,0.000,-0.011,-0.002,-0.029,0.005,0.004,0.005,-0.023,0.002,0.004,-0.012,0.001,0.004,-0.001,1.000,0.713,0.424,0.039,0.023,0.001,-0.002,-0.009,0.004,-0.248,-0.346,-0.216,0.000
-0.012,0.039,0.115,0.167,0.200,-0.083,-0.162,-0.134,0.029,-0.056,-0.001,-0.003,0.000,0.000,0.000,-0.016,-0.001,-0.233,0.135,-0.011,0.092,0.106,0.205,-0.001,-0.022,-0.003,0.002,0.005,0.001,0.002,-0.011,0.001,-0.002,0.004,0.005,0.000,-0.006,-0.001,0.004,-0.011,-0.002,-0.004,-0.002,0.713,1.000,-0.145,-0.084,-0.041,-0.001,-0.001,-0.006,-0.004,-0.220,-0.279,-0.060,0.000
-0.112,-0.079,-0.006,0.103,0.209,-0.340,-0.038,-0.324,-0.193,0.068,-0.001,-0.003,-0.034,-0.034,-0.033,0.000,-0.034,0.002,0.197,-0.110,-0.031,0.075,0.227,-0.037,0.004,-0.007,-0.009,-0.016,-0.003,-0.003,-0.003,-0.025,-0.009,-0.007,-0.001,0.005,0.011,0.013,-0.002,-0.008,0.020,0.026,0.013,0.424,-0.145,1.000,0.753,0.509,0.003,-0.004,-0.007,0.010,-0.039,-0.146,-0.259,0.001
-0.109,-0.098,-0.056,0.034,0.130,-0.317,0.031,-0.276,-0.215,0.094,0.000,-0.002,-0.047,-0.047,-0.047,0.004,-0.047,0.111,0.143,-0.108,-0.071,0.031,0.147,-0.051,0.005,0.034,-0.017,-0.012,-0.001,-0.001,-0.001,-0.036,0.026,-0.013,-0.002,0.001,0.044,0.015,-0.004,-0.008,0.028,0.028,0.019,0.039,-0.084,0.753,1.000,0.700,0.003,-0.003,-0.006,0.005,0.041,-0.051,-0.156,0.002
-0.081,-0.079,-0.059,-0.011,0.043,-0.187,0.048,-0.162,-0.141,0.078,0.000,0.000,-0.071,-0.070,-0.071,0.005,-0.072,0.082,0.058,-0.079,-0.066,0.004,0.053,-0.078,0.006,0.003,-0.078,-0.009,0.005,0.000,0.000,-0.054,0.001,-0.041,-0.001,-0.009,0.009,-0.016,-0.005,-0.004,0.043,0.012,0.003,0.023,-0.041,0.509,0.700,1.000,0.002,-0.002,-0.004,0.005,0.054,-0.017,-0.049,0.007
